id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price
1,Bandung,15,Amaroossa Bandung,"Jalan Riau, Bandung",4.0,5511.0,"Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Spa, Pusat kebugaran, Bar",2204301
1,Bandung,71,Grand Serela Setiabudhi by KAGUM Hotels,"Setiabudi, Bandung",4.0,6164.0,"Tennis meja, Jacuzzi, Area main anak, Sewa mobil, Layanan pijat, Pusat kebugaran, Sauna, Spa",1096333
1,Bandung,155,Nine Inn by Edotel Dbest,"Batununggal, Bandung",2.0,35.0,Bayar saat Check-in,1017500
1,Bandung,25,Atlantic City Hotel,"Pasirkaliki, Bandung",3.0,9630.0,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Spa",673333
1,Bandung,97,Horison Ultima Bandung,"Lengkong, Bandung",4.0,17509.0,"Area main anak, Klub anak, Pusat kebugaran, Lapangan tennis outdoor, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1150667
1,Bandung,86,Harris Hotel & Conventions Festival Citilink Bandung,"Pasir Koja, Bandung",4.0,4955.0,"Bayar saat Check-in, Aerobik, Restoran show cooking, Ruang santai, Klub anak, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1218667
1,Bandung,180,Serela Riau by KAGUM Hotels,"Jalan Riau, Bandung",3.0,5598.0,"Layanan pijat, Spa, Bar",1185833
1,Bandung,140,Maison Teraskita Bandung,"Asia Afrika, Bandung",4.0,788.0,Bar,3736667
1,Bandung,214,The Luxton Bandung,"Dago, Bandung",4.0,5129.0,"Jacuzzi, Klub anak, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Spa, Pusat kebugaran, Bar",1759500
1,Bandung,182,Shakti Hotel Bandung,"Gedebage, Bandung",4.0,9209.0,"Aerobik, Aktivitas outdoor, Handuk pantai, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran",1056667
1,Bandung,60,Grand Hotel Preanger,"Braga, Bandung",5.0,3800.0,"Aerobik, Winery, Tennis meja, Dapur kecil, Bilyar, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Bar",1916667
1,Bandung,185,Sheraton Bandung Hotel & Towers,"Dago Atas, Bandung",5.0,2213.0,"Tunggang kuda, Jacuzzi, Pengering pakaian, Area main anak, Klub anak, Pusat kebugaran, Pusat kebugaran, Bar",2944333
1,Bandung,38,"Courtyard by Marriott Bandung Dago, CHSE Certified","Dago, Bandung",4.0,2179.0,"Sewa mobil, Dapur kecil",2335300
1,Bandung,50,GH Universal Hotel,"Setiabudi, Bandung",5.0,6137.0,"Area main anak, Hewan peliharaan diizinkan, Layanan pijat, Pusat kebugaran, Spa, Bar",2579710
1,Bandung,216,The Papandayan Hotel,"Lengkong, Bandung",5.0,5038.0,"Darts, Ruang santai, Winery, Klub anak, Bar di kolam renang, Check-out ekspress, Pusat kebugaran, Bar",2854628
1,Bandung,17,Apartmen The Suite Metro By Faris Bunbun,"Batununggal, Bandung",0.0,430.0,Pusat kebugaran,613000
1,Bandung,39,Crowne Plaza BANDUNG,"Sumurbandung, Bandung",5.0,3856.0,"Pusat kebugaran, Bar",2392896
1,Bandung,133,Kytos Hotel,"Setiabudi, Bandung",3.0,6245.0,Teras rooftop,3316667
1,Bandung,91,Holiday Inn BANDUNG PASTEUR,"Pasteur, Bandung",4.0,5223.0,"Pusat kebugaran, Bar",1559199
1,Bandung,18,Apartment Gateway Cicadas by GPro,"Cibeunying, Bandung",0.0,163.0,Basket,733333
1,Bandung,243,ibis Bandung Trans Studio,"Buahbatu, Bandung",3.0,17868.0,Check-out ekspress,926667
1,Bandung,152,Moxy Bandung,"Dago, Bandung",3.0,1939.0,"Ruang santai, Pengering pakaian, Pusat kebugaran, Bilyar, Teras rooftop, Ruangan game, Pusat kebugaran, Bar",1411667
1,Bandung,237,eL Hotel Royale Bandung,"Merdeka, Bandung",4.0,16317.0,"Penitipan anak, Sewa mobil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas",1316667
1,Bandung,74,Grand Tjokro Premiere Bandung,"Cihampelas, Bandung",4.0,15901.0,"Olahraga air, Aerobik, Restoran show cooking, Dapur kecil, Teras rooftop, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",1751482
1,Bandung,48,Four Points by Sheraton Bandung,"Dago, Bandung",4.0,2190.0,"Area main anak, Klub anak, Sewa mobil, Pusat kebugaran, Bar di kolam renang, Bar",2226400
1,Bandung,20,Aryaduta Bandung,"Merdeka, Bandung",4.0,8395.0,"Area main anak, Antar-jemput bandara",2019852
1,Bandung,90,Hilton Bandung,"Pasirkaliki, Bandung",5.0,3130.0,"Bar, Sewa mobil, Pusat kebugaran, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Bar",3065333
1,Bandung,202,THE 1O1 Bandung Dago,"Dago, Bandung",4.0,12553.0,"Bersepeda atau bersepeda gunung, Layanan pijat, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1755000
1,Bandung,179,Serela Merdeka by KAGUM Hotels,"Dago, Bandung",3.0,6149.0,"Penitipan anak, Layanan pijat, Antar-jemput bandara, Check-out ekspress, Spa",996667
1,Bandung,28,Banana Inn by KAGUM Hotels,"Setiabudi, Bandung",4.0,6267.0,"Aerobik, Bar, Pengering pakaian, Teras rooftop, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",1033500
1,Bandung,158,POP! Hotel Festival Citylink - Bandung,"Pasir Koja, Bandung",2.0,9679.0,"Bayar saat Check-in, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran",592000
1,Bandung,46,Easton Park Apartment Jatinangor by Diajeng,"Jatinangor, Bandung",0.0,682.0,"Ruang santai, Area main anak, Limosin/mobil, Check-out ekspress, Pusat kebugaran",281500
1,Bandung,42,Dago Heuvel Resort and Villa,"Mekarsaluyu, Bandung",2.0,591.0,"Pemancingan, Bilyar, Aktivitas outdoor, Jacuzzi, Area piknik",3968800
1,Bandung,201,Swiss-Belresort Dago Heritage Bandung,"Dago Atas, Bandung",4.0,6225.0,"Golf, Klub anak, Dapur kecil, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",3583950
1,Bandung,77,Grandia Hotel Bandung,"Cihampelas, Bandung",4.0,9709.0,"Bar, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Bar",2270400
1,Bandung,224,V Hotel & Residence,"Pasteur, Bandung",3.0,14648.0,"Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran",699000
1,Bandung,126,InterContinental Hotels BANDUNG DAGO PAKAR,"Mekarsaluyu, Bandung",5.0,4140.0,Tennis,5180328
1,Bandung,111,Hotel Dafam Rio,"Jalan Riau, Bandung",3.0,3536.0,"Jemputan stasiun kereta, Layanan pijat, Spa",836841
1,Bandung,89,Hemangini Hotel Bandung,"Setiabudi, Bandung",4.0,5488.0,Aksesibel bagi penyandang disabilitas,2037037
1,Bandung,132,Kedaton Hotel,"Sumurbandung, Bandung",3.0,5277.0,"Karaoke, Layanan pijat, Mandi uap, Pusat kebugaran, Antar-jemput bandara, Sauna, Spa",1481481
1,Bandung,176,Sari Ater Kamboti Hotel Bandung,"Pasteur, Bandung",4.0,5865.0,"Bayar saat Check-in, Karaoke, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",1037276
1,Bandung,236,d'primahotel Bandung,"Sukajadi, Bandung",3.0,6503.0,Antar-jemput bandara,4160000
1,Bandung,235,Zest Hotel Sukajadi Bandung,"Sukajadi, Bandung",3.0,7151.0,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Spa",861555
1,Bandung,177,Sensa Hotel Bandung,"Cihampelas, Bandung",4.0,3133.0,Spa,1654667
1,Bandung,242,ibis Bandung Pasteur,"Pasteur, Bandung",3.0,5186.0,Check-out ekspress,923319
1,Bandung,37,Clove Garden Hotel & Residence,"Dago, Bandung",4.0,14893.0,Aksesibel bagi penyandang disabilitas,2135300
1,Bandung,190,"Sukajadi Hotel, Convention and Gallery","Sukajadi, Bandung",3.0,4836.0,"Tenda di tepi kolam, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Kursi berjemur tepi kolam, Pusat kebugaran",846667
1,Bandung,43,De Paviljoen Bandung,"Jalan Riau, Bandung",4.0,4384.0,"Pengering pakaian, Dapur kecil, Pusat kebugaran",2000000
