id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price,url_image,rating,category,latitude,longitude
1,Bandung,15,Amaroossa Bandung,"Jalan Riau, Bandung",4.0,5511.0,"Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Spa, Pusat kebugaran, Bar",2204301,https://storage.googleapis.com/picture-bucket19/hotel/15.jpg,1.145202348173931,luxury,-6.908619,107.618396
1,Bandung,71,Grand Serela Setiabudhi by KAGUM Hotels,"Setiabudi, Bandung",4.0,6164.0,"Tennis meja, Jacuzzi, Area main anak, Sewa mobil, Layanan pijat, Pusat kebugaran, Sauna, Spa",1096333,https://storage.googleapis.com/picture-bucket19/hotel/71.jpg,1.2808977089718947,luxury,-6.8810402,107.60120919999996
1,Bandung,155,Nine Inn by Edotel Dbest,"Batununggal, Bandung",2.0,35.0,Bayar saat Check-in,1017500,https://storage.googleapis.com/picture-bucket19/hotel/155.jpg,0.0036365525481843,midrange,-6.93946554350589,107.656755266489
1,Bandung,25,Atlantic City Hotel,"Pasirkaliki, Bandung",3.0,9630.0,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Spa",673333,https://storage.googleapis.com/picture-bucket19/hotel/25.jpg,1.5008571873863576,budget,-6.9069168411350725,107.59769817790982
1,Bandung,97,Horison Ultima Bandung,"Lengkong, Bandung",4.0,17509.0,"Area main anak, Klub anak, Pusat kebugaran, Lapangan tennis outdoor, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1150667,https://storage.googleapis.com/picture-bucket19/hotel/97.jpg,3.6384227752091016,midrange,-6.935608,107.625306
1,Bandung,86,Harris Hotel & Conventions Festival Citilink Bandung,"Pasir Koja, Bandung",4.0,4955.0,"Bayar saat Check-in, Aerobik, Restoran show cooking, Ruang santai, Klub anak, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1218667,https://storage.googleapis.com/picture-bucket19/hotel/86.jpg,1.0296638786430463,midrange,-6.929819,107.586579
1,Bandung,180,Serela Riau by KAGUM Hotels,"Jalan Riau, Bandung",3.0,5598.0,"Layanan pijat, Spa, Bar",1185833,https://storage.googleapis.com/picture-bucket19/hotel/180.jpg,0.872460907060107,midrange,-6.906403,107.619476
1,Bandung,140,Maison Teraskita Bandung,"Asia Afrika, Bandung",4.0,788.0,Bar,3736667,https://storage.googleapis.com/picture-bucket19/hotel/140.jpg,0.1637487661696711,luxury,-6.9210901,107.6068887
1,Bandung,214,The Luxton Bandung,"Dago, Bandung",4.0,5129.0,"Jacuzzi, Klub anak, Layanan pijat, Pusat kebugaran, Bar di kolam renang, Spa, Pusat kebugaran, Bar",1759500,https://storage.googleapis.com/picture-bucket19/hotel/214.jpg,1.0658216011221362,midrange,-6.903839,107.611357
1,Bandung,182,Shakti Hotel Bandung,"Gedebage, Bandung",4.0,9209.0,"Aerobik, Aktivitas outdoor, Handuk pantai, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran",1056667,https://storage.googleapis.com/picture-bucket19/hotel/182.jpg,1.9136578523559664,luxury,-6.937308900000001,107.69711589999996
1,Bandung,60,Grand Hotel Preanger,"Braga, Bandung",5.0,3800.0,"Aerobik, Winery, Tennis meja, Dapur kecil, Bilyar, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Bar",1916667,https://storage.googleapis.com/picture-bucket19/hotel/60.jpg,0.9870642630786016,midrange,-6.920718,107.611636
1,Bandung,185,Sheraton Bandung Hotel & Towers,"Dago Atas, Bandung",5.0,2213.0,"Tunggang kuda, Jacuzzi, Pengering pakaian, Area main anak, Klub anak, Pusat kebugaran, Pusat kebugaran, Bar",2944333,https://storage.googleapis.com/picture-bucket19/hotel/185.jpg,0.5748350563665645,luxury,-6.874546500000001,107.61997989999998
1,Bandung,38,"Courtyard by Marriott Bandung Dago, CHSE Certified","Dago, Bandung",4.0,2179.0,"Sewa mobil, Dapur kecil",2335300,https://storage.googleapis.com/picture-bucket19/hotel/38.jpg,0.4528027429996363,luxury,-6.90421453,107.6100776
